Year,State,Loan_Commitments
2006,Australian Capital Territory,862
2006,New South Wales,12906
2006,Northern Territory,434
2006,Queensland,11894
2006,South Australia,3307
2006,Tasmania,940
2006,Victoria,12882
2006,Western Australia,5131
2007,Australian Capital Territory,1799
2007,New South Wales,32565
2007,Northern Territory,1033
2007,Queensland,29891
2007,South Australia,7816
2007,Tasmania,2206
2007,Victoria,33034
2007,Western Australia,14131
2008,Australian Capital Territory,1610
2008,New South Wales,30698
2008,Northern Territory,967
2008,Queensland,22085
2008,South Australia,7910
2008,Tasmania,2358
2008,Victoria,30149
2008,Western Australia,14773
2009,Australian Capital Territory,2963
2009,New South Wales,50137
2009,Northern Territory,1170
2009,Queensland,34574
2009,South Australia,12322
2009,Tasmania,3387
2009,Victoria,45234
2009,Western Australia,23487
2010,Australian Capital Territory,1479
2010,New South Wales,23129
2010,Northern Territory,571
2010,Queensland,14944
2010,South Australia,5672
2010,Tasmania,1516
2010,Victoria,27671
2010,Western Australia,11415
2011,Australian Capital Territory,1361
2011,New South Wales,25457
2011,Northern Territory,670
2011,Queensland,15522
2011,South Australia,4966
2011,Tasmania,1383
2011,Victoria,23428
2011,Western Australia,12525
2012,Australian Capital Territory,1413
2012,New South Wales,19834
2012,Northern Territory,913
2012,Queensland,19564
2012,South Australia,5649
2012,Tasmania,1376
2012,Victoria,26671
2012,Western Australia,16650
2013,Australian Capital Territory,1680
2013,New South Wales,15175
2013,Northern Territory,746
2013,Queensland,18567
2013,South Australia,7328
2013,Tasmania,1731
2013,Victoria,26963
2013,Western Australia,19439
2014,Australian Capital Territory,1768
2014,New South Wales,15952
2014,Northern Territory,884
2014,Queensland,18821
2014,South Australia,6542
2014,Tasmania,1951
2014,Victoria,24229
2014,Western Australia,19307
2015,Australian Capital Territory,1807
2015,New South Wales,15039
2015,Northern Territory,506
2015,Queensland,18622
2015,South Australia,4765
2015,Tasmania,1582
2015,Victoria,24648
2015,Western Australia,16595
2016,Australian Capital Territory,1692
2016,New South Wales,13803
2016,Northern Territory,512
2016,Queensland,19608
2016,South Australia,4969
2016,Tasmania,1781
2016,Victoria,25214
2016,Western Australia,14188
2017,Australian Capital Territory,2288
2017,New South Wales,18298
2017,Northern Territory,681
2017,Queensland,22732
2017,South Australia,5336
2017,Tasmania,1667
2017,Victoria,29313
2017,Western Australia,15134
2018,Australian Capital Territory,2396
2018,New South Wales,24053
2018,Northern Territory,766
2018,Queensland,21794
2018,South Australia,5763
2018,Tasmania,1992
2018,Victoria,32831
2018,Western Australia,13905
2019,Australian Capital Territory,2118
2019,New South Wales,24732
2019,Northern Territory,880
2019,Queensland,19769
2019,South Australia,6112
2019,Tasmania,2095
2019,Victoria,33637
2019,Western Australia,13555
2020,Australian Capital Territory,3097
2020,New South Wales,32930
2020,Northern Territory,1095
2020,Queensland,28115
2020,South Australia,8024
2020,Tasmania,2663
2020,Victoria,41272
2020,Western Australia,18883
2021,Australian Capital Territory,3470
2021,New South Wales,37934
2021,Northern Territory,1276
2021,Queensland,33984
2021,South Australia,10073
2021,Tasmania,2744
2021,Victoria,49746
2021,Western Australia,24546
2022,Australian Capital Territory,3298
2022,New South Wales,26811
2022,Northern Territory,834
2022,Queensland,23709
2022,South Australia,6993
2022,Tasmania,1973
2022,Victoria,37791
2022,Western Australia,17909
2023,Australian Capital Territory,2967
2023,New South Wales,26665
2023,Northern Territory,765
2023,Queensland,21517
2023,South Australia,7088
2023,Tasmania,1888
2023,Victoria,34114
2023,Western Australia,15605
2024,Australian Capital Territory,1854
2024,New South Wales,19052
2024,Northern Territory,486
2024,Queensland,15336
2024,South Australia,4698
2024,Tasmania,1270
2024,Victoria,24904
2024,Western Australia,10591
